positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
耐人尋味,怠惰地,,,,,,,
耐用,怠惰的,,,,,,,
難能可貴,怠慢,,,,,,,
內斂,急切,,,,,,,
內向,急切地要求得到,,,,,,,
內向型,急切的,,,,,,,
內行,急忙,,,,,,,
內秀,急忙地講,,,,,,,
能,急扯,,,,,,,
能動,急走,,,,,,,
能幹,急拉,,,,,,,
膩,急促,,,,,,,
蔫不出溜,急促地說,,,,,,,
蔫不溜,急急忙忙,,,,,,,
蔫不悄兒,急流,,,,,,,
蔫不聲,急煞車聲,,,,,,,
蔫不唧兒,急語,,,,,,,
年富力強,急躁,,,,,,,
年高德劭,急躁的,,,,,,,
鳥語花香,怨言,,,,,,,
凝,怨恨,,,,,,,
凝神,怨恨引起,,,,,,,
凝重,怨恨引起的,,,,,,,
寧,怨恨的,,,,,,,
寧靜,恍惚,,,,,,,
濃麗,恫嚇,,,,,,,
濃香,挖空,,,,,,,
濃豔,挖苦,,,,,,,
怕事,挖苦的,,,,,,,
排場,挖掘,,,,,,,
排列有序,挖掘地基,,,,,,,
排列整齊,拚命,,,,,,,
判斷正確,持異議,,,,,,,
配得上,持續的叫喊,,,,,,,
噴噴香,指控,,,,,,,
噴香,指責,,,,,,,
蓬勃,指摘,,,,,,,
蓬勃向上,拷問,,,,,,,
蓬蓬勃勃,拷問的,,,,,,,
蓬茸,挑剔,,,,,,,
披肝瀝膽,挑剔的,,,,,,,
披瀝,挑逗,,,,,,,
芃芃,挑撥,,,,,,,
皮實,挑戰,,,,,,,
偏,挑釁,,,,,,,
偏偏,挑釁的,,,,,,,
偏要,故意,,,,,,,
飄灑,故意刁難,,,,,,,
飄逸,故意少給,,,,,,,
漂亮,故意的,,,,,,,
品學兼優,故態復萌,,,,,,,
平,故障,,,,,,,
平安,施以,,,,,,,
平安無事,施暴,,,,,,,
平板,枯萎,,,,,,,
平等,枯槁,,,,,,,
平等地,枯竭,,,,,,,
平等互利,查抄,,,,,,,
平和,查禁,,,,,,,
平衡,歪曲,,,,,,,
平滑,歪的,,,,,,,
平緩,毒品,,,,,,,
平靜,毒品交易中收錢而不給貨,,,,,,,
平平安安,毒害,,,,,,,
平平靜靜,毒氣,,,,,,,
平實,毒氣影響,,,,,,,
平坦,毒殺,,,,,,,
平穩,毒液,,,,,,,
平心靜氣,毒蛇,,,,,,,
平易,毒蛇一樣,,,,,,,
平易近人,毒蛇一樣的傢伙,,,,,,,
平允,毒腺,,,,,,,
平展,毒藥,,,,,,,
平整,洪水,,,,,,,
評價頗高,洪流,,,,,,,
屏氣凝神,流亡,,,,,,,
屏聲息氣,流亡者,,,,,,,
屏息靜氣,流出,,,,,,,
潑悍,流血,,,,,,,
潑辣,流行病,,,,,,,
頗為重要,流言,,,,,,,
破釜沉舟,流言蜚語,,,,,,,
樸,流放,,,,,,,
樸厚,流氓,,,,,,,
朴茂,流空,,,,,,,
樸實,流浪,,,,,,,
樸實無華,流浪人,,,,,,,
樸素,流浪乞丐,,,,,,,
樸直,流浪的,,,,,,,
樸質,流浪者,,,,,,,
樸拙,流浪漢,,,,,,,
其樂融融,流淚,,,,,,,
其樂無窮,流逝,,,,,,,
其實,流離,,,,,,,
奇貨可居,派系,,,,,,,
奇妙,洩密,,,,,,,
奇巧,洩漏,,,,,,,
齊,洩露,,,,,,,
齊備,炫耀,,,,,,,
齊楚,為..哀痛,,,,,,,
齊全,為..鬥爭,,,,,,,
齊刷刷,為..報復,,,,,,,
齊整,為..感到遺憾,,,,,,,
旗幟鮮明,為難,,,,,,,
起眼兒,炸毀,,,,,,,
器宇不凡,炸藥,,,,,,,
器宇軒昂,炮擊,,,,,,,
氣衝霄漢,炮轟,,,,,,,
氣度不凡,牲畜,,,,,,,
氣度恢宏,牲畜欄,,,,,,,
氣概不凡,狩獵,,,,,,,
氣貫長虹,狠狠,,,,,,,
氣派,狠狠抨擊,,,,,,,
氣魄,狡詐,,,,,,,
氣吞山河,狡詐的,,,,,,,
氣象萬千,狡猾,,,,,,,
氣宇軒昂,狡猾的,,,,,,,
恰,玷污,,,,,,,
恰當,畏怯,,,,,,,
恰到好處,畏縮,,,,,,,
恰如其分,畏縮的,,,,,,,
千方百計,畏懼,,,,,,,
千嬌百媚,疤痕,,,,,,,
千依百順,相反,,,,,,,
千真萬確,相反地,,,,,,,
千姿百態,相反的,,,,,,,
謙,相差,,,,,,,
謙卑,相差的,,,,,,,
謙誠,相異,,,,,,,
謙恭,相異的,,,,,,,
謙和,相撞,,,,,,,
謙順,看不見,,,,,,,
謙虛,看不見的,,,,,,,
謙虛謹慎,研碎,,,,,,,
謙遜,砍倒,,,,,,,
前程似錦,砍得,,,,,,,
前程萬里,砍得很深,,,,,,,
前所未見,砍得很深的傷口,,,,,,,
前所未聞,砍痕,,,,,,,
前所未有,砍傷,,,,,,,
前衛,砍頭,,,,,,,
前無古人,砍擊,,,,,,,
潛心,科以,,,,,,,
淺,突如其來,,,,,,,
淺近,突如其來的,,,,,,,
淺顯,突然,,,,,,,
淺易,突然不見,,,,,,,
強,突然止步不前,,,,,,,
強大,突然地,,,,,,,
強固,突然的,,,,,,,
強悍,突發,,,,,,,
強健,突襲,,,,,,,
強勢,約束,,,,,,,
強硬,約束物,,,,,,,
強有力,胖的,,,,,,,
強壯,背井,,,,,,,
強壯有力,背信,,,,,,,
搶眼,背信棄義,,,,,,,
悄,背信棄義的,,,,,,,
悄沒聲,背信棄義的人,,,,,,,
悄悄,背叛,,,,,,,
悄然,背叛的,,,,,,,
悄聲,背叛者,,,,,,,
巧,背離,,,,,,,
巧奪天工,胡言,,,,,,,
巧妙,胡言亂語,,,,,,,
俏,胡思,,,,,,,
俏麗,胡思亂想,,,,,,,
俏美,胡思亂想的,,,,,,,
俏皮,胡亂,,,,,,,
切身,胡亂地塗,,,,,,,
切題,胡亂對付,,,,,,,
親切,胡話,,,,,,,
親切友好,胡說,,,,,,,
親善,胡鬧,,,,,,,
親暱,致死,,,,,,,
勤,致死的,,,,,,,
勤奮,致污物,,,,,,,
勤懇,致使,,,,,,,
勤快,致命,,,,,,,
勤勞,致命之物,,,,,,,
勤勉,致命的,,,,,,,
勤勤懇懇,苛求,,,,,,,
沁人心脾,苛刻,,,,,,,
沁入肺腑,苛刻的,,,,,,,
輕,苦工,,,,,,,
輕薄透明,苦役,,,,,,,
輕車熟路,苦事,,,,,,,
輕而易舉,苦味,,,,,,,
輕健,苦的,,,,,,,
輕捷,苦的東西,,,,,,,
輕靈,苦悶,,,,,,,
輕悄悄,苦惱,,,,,,,
輕巧,苦痛,,,,,,,
輕輕,苦幹,,,,,,,
輕輕地,苦境,,,,,,,
輕輕鬆鬆,苦難,,,,,,,
輕柔,虐待,,,,,,,
輕手輕腳,要吐,,,,,,,
輕鬆,要吐的,,,,,,,
輕易,要死,,,,,,,
輕盈,要求,,,,,,,
輕悠悠,計謀,,,,,,,
傾國傾城,負的,,,,,,,
傾情,負荷,,,,,,,
清,負數,,,,,,,
清白,負擔,,,,,,,
清徹,迫切,,,,,,,
清澈,迫切的,,,,,,,
清澈見底,迫切需要,,,,,,,
清楚,迫使,,,,,,,
清醇,迫害,,,,,,,
清純,重打,,,,,,,
清脆,重負,,,,,,,
清淡,重新陷入,,,,,,,
清潔,重擔,,,,,,,
清潔衛生,重壓,,,,,,,
清靜,重擊,,,,,,,
清淨,重擊聲,,,,,,,
清口,限止,,,,,,,
清朗,限制,,,,,,,
清麗,限制因素,,,,,,,
清廉,限定,,,,,,,
清亮,限度,,,,,,,
清亮亮,陌生,,,,,,,
清凌凌,陌生的,,,,,,,
清明,降低,,,,,,,
清平,降低..,,,,,,,
清切,降低..的地位,,,,,,,
清通,降低..的品格,,,,,,,
清婉,降級,,,,,,,
清晰,降禍,,,,,,,
清晰可辨,風吹,,,,,,,
清晰明瞭,風波,,,,,,,
清香,風暴,,,,,,,
清新,風騷,,,,,,,
清新淡雅,飛濺,,,,,,,
清醒,飛濺出,,,,,,,
清秀,食人,,,,,,,
清雅,食人者,,,,,,,
清一色,亳不,,,,,,,
清幽,亳不留情,,,,,,,
清幽幽,亳不留情的,,,,,,,
清越,倒下,,,,,,,
清湛,倒不如,,,,,,,
清真,倒坍,,,,,,,
清正,倒垃圾,,,,,,,
清馨,倒彩,,,,,,,
情文並茂,倒閉,,,,,,,
情意懇摯,倒塌,,,,,,,
情真意切,倒楣,,,,,,,
秋毫無犯,倒楣的,,,,,,,
求實,倔強,,,,,,,
求真務實,倔強地,,,,,,,
求之不得,倔強的,,,,,,,
曲線美,凍傷,,,,,,,
趣,凌辱,,,,,,,
趣味盎然,凌亂,,,,,,,
權變,凋萎,,,,,,,
權威性,凋謝,,,,,,,
權宜,凋謝的,,,,,,,
全,剔除,,,,,,,
全能,剛愎,,,,,,,
全身心,剛愎的,,,,,,,
全神貫注,剝落,,,,,,,
全始全終,剝奪,,,,,,,
全新,原子塵,,,,,,,
全心全意,原子塵的降下,,,,,,,
全知全能,唐突,,,,,,,
拳拳,唐突的,,,,,,,
確,哭泣,,,,,,,
確當,哭得使..,,,,,,,
確定,哭著使..,,,,,,,
確定不移,哭訴,,,,,,,
確定性,埋伏,,,,,,,
確切,埋地雷,,,,,,,
確切無疑,埋葬,,,,,,,
確確實實,奚落,,,,,,,
確實,宰殺,,,,,,,
確實可靠,害人,,,,,,,
確有其事,害人精,,,,,,,
確鑿,害怕,,,,,,,
確鑿無疑,害怕的,,,,,,,
群威群膽,害羞,,,,,,,
群言堂,害羞的,,,,,,,
饒,害處,,,,,,,
饒富,害蟲,,,,,,,
饒爽,害臊,,,,,,,
饒沃,家務雜事,,,,,,,
饒有風趣,容忍,,,,,,,
饒有興味,容易受驚,,,,,,,
饒有興致,容易受驚的,,,,,,,
饒有餘韻,射擊,,,,,,,
擾攘,差別,,,,,,,
繞圈子,差的,,,,,,,
熱,差強,,,,,,,
熱誠,差強人意,,,,,,,
熱點,差強人意的,,,,,,,
熱和,差異,,,,,,,
熱乎,弱小,,,,,,,
熱火,弱小的,,,,,,,
熱火朝天,弱點,,,,,,,
熱烈,徒勞,,,,,,,
熱門,徒然,,,,,,,
熱鬧,徒然的,,,,,,,
熱切,恣意,,,,,,,
熱情,恣意的,,,,,,,
熱情洋溢,恥辱,,,,,,,
熱熱鬧鬧,恐怖,,,,,,,
熱心腸,恐怖手段,,,,,,,
熱血,恐怖主義,,,,,,,
仁,恐怖行動,,,,,,,
仁愛,恐怖時期,,,,,,,
仁慈,恐怖病,,,,,,,
仁厚,恐怖症,,,,,,,
仁義,恐怖統治,,,,,,,
仁至義盡,恐怕,,,,,,,
人道,恐慌,,,,,,,
人給家足,恐嚇,,,,,,,
人和,恐懼,,,,,,,
人歡馬叫,悄悄,,,,,,,
人來人往,悄悄踱步,,,,,,,
人山人海,悚然,,,,,,,
人壽年豐,悍婦,,,,,,,
韌,悔恨,,,,,,,
任勞任怨,拳打,,,,,,,
任性,拳頭,,,,,,,
任意,捕捉,,,,,,,
認認真真,捕捉之物,,,,,,,
認真,捕捉器,,,,,,,
榮,捆住,,,,,,,
榮幸,捏造,,,,,,,
融和,挫折,,,,,,,
融洽,挫敗,,,,,,,
容人,挫傷,,,,,,,
容易,挨餓,,,,,,,
柔,料想不到,,,,,,,
柔和,料想不到的,,,,,,,
柔滑,根絕,,,,,,,
柔曼,格外,,,,,,,
柔美,格外的,,,,,,,
柔媚,格鬥,,,,,,,
柔韌,慇勤,,,,,,,
柔順,氣急,,,,,,,
柔婉,氣急敗壞,,,,,,,
柔中有剛,氣急敗壞地說,,,,,,,
肉墩墩,氣惱,,,,,,,
儒雅,氣憤,,,,,,,
如初,氣憤地說粗話,,,,,,,
如故,氣餒,,,,,,,
如虎添翼,氣餒的,,,,,,,
如花似錦,浪子,,,,,,,
如花似玉,浪費,,,,,,,
如舊,浪費的,,,,,,,
如雷貫耳,浪蕩,,,,,,,
如期,浪蕩的,,,,,,,
如實,消失,,,,,,,
如數家珍,消沈,,,,,,,
如飲醍醐,消耗,,,,,,,
如魚得水,消耗性,,,,,,,
入耳,消耗性的,,,,,,,
入畫,消耗熱,,,,,,,
入理,消耗熱的,,,,,,,
入木三分,消散,,,,,,,
入情入理,消極,,,,,,,
入時,消極的,,,,,,,
入微,消滅,,,,,,,
入味,消瘦,,,,,,,
入眼,浸水而沈沒,,,,,,,
軟,浸沒,,,,,,,
軟心腸,海洛因,,,,,,,
瑞,海難,,,,,,,
銳,浮動,,,,,,,
銳利,浮渣,,,,,,,
銳敏,浮躁,,,,,,,
銳意,浮躁的,,,,,,,
潤,烤焦,,,,,,,
灑脫,烙印,,,,,,,
三思而後行,烈酒,,,,,,,
三思而行,特權,,,,,,,
三下五除二,狼吞虎嚥,,,,,,,
嗓子好,狼狽,,,,,,,
森然,狼藉,,,,,,,
森森,狹小,,,,,,,
山明水秀,狹路,,,,,,,
山清水秀,畜生,,,,,,,
山搖地動,留下傷痕,,,,,,,
閃亮,疾走,,,,,,,
閃閃,疾風,,,,,,,
擅場,疾病,,,,,,,
善,疾駛,,,,,,,
善交際,病人,,,,,,,
善良,病人的,,,,,,,
善始善終,病狂,,,,,,,
善意,病的,,,,,,,
賞罰分明,病弱,,,,,,,
賞罰嚴明,病弱的,,,,,,,
賞心悅目,病弱的人,,,,,,,
上,病根,,,,,,,
上乘,病菌,,,,,,,
上等,疲乏,,,,,,,
上趕,疲倦,,,,,,,
上趕著,疲倦的,,,,,,,
上好,疲勞,,,,,,,
上勁,疲憊,,,,,,,
上鏡,疼痛,,,,,,,
上流,疼痛的,,,,,,,
上品,疹子,,,,,,,
上色,眩目,,,,,,,
上上,眩目地照射,,,,,,,
上相,真假可疑,,,,,,,
上照,真假可疑的,,,,,,,
捎帶,砰地,,,,,,,
韶,砰地放下,,,,,,,
韶秀,砰地落下,,,,,,,
少不得,砰然,,,,,,,
少不了,砰然作聲,,,,,,,
裝置齊全,砰然作聲地,,,,,,,
伸縮,砰然聲,,,,,,,
身強力壯,砰擊,,,,,,,
身強體壯,砰擊聲,,,,,,,
身手不凡,砰聲,,,,,,,
身體結實,破布條,,,,,,,
身心健康,破衣服,,,,,,,
深,破門,,,,,,,
深奧,破門盜竊,,,,,,,
深藏若虛,破洞,,,,,,,
深長,破掉,,,,,,,
深沉,破敗,,,,,,,
深刻,破敗的,,,,,,,
深切,破產,,,,,,,
深入淺出,破產了,,,,,,,
深入人心,破產了的,,,,,,,
深透,破產者,,,,,,,
深遠,破裂,,,,,,,
深湛,破裂處,,,,,,,
深摯,破碎,,,,,,,
深邃,破落,,,,,,,
神,破落的,,,,,,,
神奧,破舊,,,,,,,
神采飛揚,破舊的,,,,,,,
神采煥發,破壞,,,,,,,
神采奕奕,破壞..的基礎,,,,,,,
神工鬼斧,破壞名譽,,,,,,,
神妙,破壞性,,,,,,,
神氣,破壞性的,,,,,,,
神聖,破壞的,,,,,,,
神聖不可侵犯,破壞活動,,,,,,,
神通廣大,破爛,,,,,,,
神勇,破爛的,,,,,,,
審慎,神經,,,,,,,
慎,神經的,,,,,,,
慎重,神經病,,,,,,,
聲名大噪,神經病的,,,,,,,
聲名大振,神經病患者,,,,,,,
聲情並茂,神經過敏,,,,,,,
聲勢浩大,神經過敏的,,,,,,,
生長完全,神經緊張,,,,,,,
生動,神經緊張的,,,,,,,
生動活潑,神經質,,,,,,,
生花妙筆,神經質的,,,,,,,
生機盎然,神經錯亂,,,,,,,
生機勃勃,秘密,,,,,,,
生龍活虎,秘密的,,,,,,,
生猛,秘教,,,,,,,
生氣勃勃,秘教的,,,,,,,
生殺予奪,笑柄,,,,,,,
生死,粉碎,,,,,,,
生死不渝,紋裂,,,,,,,
生死攸關,紊亂,,,,,,,
生意盎然,索費,,,,,,,
昇平,索價,,,,,,,
省儉,缺少,,,,,,,
省力,缺少的東西,,,,,,,
省時,缺乏,,,,,,,
省事,缺乏自信,,,,,,,
省心,缺乏的,,,,,,,
盛,缺乏感情,,,,,,,
盛大,缺乏感情或興趣,,,,,,,
勝,缺乏感情的,,,,,,,
聖,缺乏興趣,,,,,,,
聖潔,缺乏興趣的,,,,,,,
聖禮,缺席,,,,,,,
聖明,缺席的,,,,,,,
十分重要,缺席者,,,,,,,
十拿九穩,缺陷,,,,,,,
十全,缺德,,,,,,,
十全十美,缺德的,,,,,,,
十足,缺點,,,,,,,
石破天驚,耗費,,,,,,,
拾金不昧,耗費的,,,,,,,
時尚,耗盡,,,,,,,
時新,耗盡的,,,,,,,
時興,耽擱,,,,,,,
時髦,脂肪,,,,,,,
實,脅迫,,,,,,,
實誠,脆的,,,,,,,
實打實,脆弱,,,,,,,
實惠,脆弱的,,,,,,,
實際,臭味,,,,,,,
實際上,臭氣,,,,,,,
實施得力,臭蟲,,,,,,,
實實惠惠,茫然,,,,,,,
實實在在,茫然的,,,,,,,
實事求是,荒地,,,,,,,
實心,荒年,,,,,,,
實心實意,荒年的,,,,,,,
實心眼兒,荒唐,,,,,,,
實意,荒唐的,,,,,,,
實用,荒涼,,,,,,,
實在,荒涼的,,,,,,,
實則,荒野,,,,,,,
實至名歸,荒野的,,,,,,,
實質上,荒廢,,,,,,,
實質性,荒廢的,,,,,,,
識趣,荒誕,,,,,,,
史詩般,荒蕪,,,,,,,
史無前例,荒蕪的,,,,,,,
使人愉快,荒謬,,,,,,,
使用方便,荒謬的,,,,,,,
始終不懈,荒謬的言行,,,,,,,
始終不渝,草率,,,,,,,
始終如一,草率的,,,,,,,
世界級,草率從事,,,,,,,
事關重大,草率從事的,,,,,,,
事實上,衰老,,,,,,,
事實勝於雄辯,衰老的,,,,,,,
是,衰弱,,,,,,,
是的,衰弱的,,,,,,,
適,衰退,,,,,,,
適當,衰敗,,,,,,,
適度,衰微,,,,,,,
適逢其會,衰落,,,,,,,
適口,衰落的,,,,,,,
適宜,衰竭,,,,,,,
適意,討好,,,,,,,
適用,討厭,,,,,,,
手不釋卷,討厭的,,,,,,,
手腳麻利,討厭的人,,,,,,,
手快,討厭的人或東西,,,,,,,
手巧,討厭的事,,,,,,,
手勤,訓斥,,,,,,,
手軟,起糾紛,,,,,,,
手鬆,起阻礙作用,,,,,,,
首屈一指,起風暴,,,,,,,
首要,起訴,,,,,,,
守法,起訴人,,,,,,,
守時,起訴狀,,,,,,,
守時間,起皺,,,,,,,
受吃,起雞皮疙瘩,,,,,,,
受過良好訓練,辱罵,,,,,,,
受看,送葬,,,,,,,
受聽,送葬者,,,,,,,
殊,逆向,,,,,,,
舒,逆向的,,,,,,,
舒緩,逆行,,,,,,,
舒快,逆著,,,,,,,
舒適,逆境,,,,,,,
舒舒服服,迷住,,,,,,,
舒爽,迷信,,,,,,,
舒鬆,迷信引起,,,,,,,
舒心,迷信引起的,,,,,,,
淑,迷信的,,,,,,,
熟,迷途,,,,,,,
熟練,迷途地,,,,,,,
熟巧,迷惑,,,,,,,
熟識,迷惑的,,,,,,,
熟透,迷亂,,,,,,,
熟悉,迷路,,,,,,,
屬實,迷路的,,,,,,,
樹葉茂盛,迷路者,,,,,,,
數得上,迷戀,,,,,,,
數得著,迷戀者,,,,,,,
數一數二,退出,,,,,,,
帥,退回,,,,,,,
雙料,退役,,,,,,,
雙穩態,退步,,,,,,,
爽口,退卻,,,,,,,
爽朗,退場,,,,,,,
爽利,退落,,,,,,,
爽目,退學,,,,,,,
爽氣,退縮,,,,,,,
爽心悅目,退避,,,,,,,
爽直,逃亡,,,,,,,
水滴石穿,逃亡的,,,,,,,
水靈,逃亡者,,,,,,,
水靈靈,逃犯,,,,,,,
水乳交融,逃走,,,,,,,
水汪汪,逃走的,,,,,,,
水瑩瑩,逃走的人,,,,,,,
水涔涔,逃掉,,,,,,,
順,逃跑,,,,,,,
順暢,逃避,,,,,,,
順當,逃避義務,,,,,,,
順耳,逃避職責,,,,,,,
順口,追捕,,,,,,,
順理成章,追逐,,,,,,,
順利,追訴,,,,,,,
順勢,追訴時效,,,,,,,
順手,追趕,,,,,,,
順順當當,追擊,,,,,,,
順眼,追蹤,,,,,,,
說白了,酒鬼,,,,,,,
說得通,酒醉,,,,,,,
說一不二,酒醉的,,,,,,,
碩學,針刺,,,,,,,
爍,陣痛,,,,,,,
爍亮,陡然,,,,,,,
斯斯文文,陡然下降,,,,,,,
斯文,陡然下降的,,,,,,,
思路清晰,飢餓,,,,,,,
絲毫不差,骨折,,,,,,,
死得其所,高度興奮,,,,,,,
死活,高速疾駛,,,,,,,
死靜,高傲,,,,,,,
四平八穩,高傲態度,,,,,,,
似曾相識,高價,,,,,,,
鬆,高價地,,,,,,,
鬆動,高壓,,,,,,,
鬆快,高壓政治,,,,,,,
素潔,鬥爭,,,,,,,
素樸,鬥拳,,,,,,,
素雅,鬼鬼祟祟,,,,,,,
速效,鬼鬼祟祟的人,,,,,,,
肅靜,鬼鬼祟祟做事,,,,,,,
肅穆,乾旱,,,,,,,
肅然,乾咳,,,,,,,
隨便,乾枯,,,,,,,
隨和,乾燥,,,,,,,
隨手,乾燥的,,,,,,,
隨宜,偽君子,,,,,,,
隨遇而安,偽造,,,,,,,
綏,偽造物,,,,,,,
縮手縮腳,偽造的,,,,,,,
塌實,偽造品,,,,,,,
踏實,偽善,,,,,,,
踏踏實實,偽善者,,,,,,,
檯面上,偽裝,,,,,,,
泰,停止,,,,,,,
泰然處之,停業,,,,,,,
泰然自若,停業清理,,,,,,,
太平,停頓,,,,,,,
太太平平,停滯,,,,,,,
談吐不俗,停滯的,,,,,,,
談言微中,假扮,,,,,,,
坦,假的,,,,,,,
坦白,假冒,,,,,,,
坦誠,假冒的,,,,,,,
坦誠相待,假冒品,,,,,,,
坦誠相見,假毒品,,,,,,,
坦蕩,假面目,,,,,,,
坦蕩蕩,假托,,,,,,,
坦率,假貨,,,,,,,
坦率直言,假裝,,,,,,,
坦實,假裝的,,,,,,,
坦坦蕩蕩,做作,,,,,,,
坦直,做假,,,,,,,
探囊取物,做錯,,,,,,,
堂而皇之,做霸佔行為,,,,,,,
堂皇,健忘,,,,,,,
堂堂,偷東西,,,,,,,
堂堂正正,偷偷,,,,,,,
糖味,偷偷地吃,,,,,,,
掏心,偷偷地行動,,,,,,,
陶,偷偷地做,,,,,,,
特出,偷偷取得,,,,,,,
特等,偷偷摸摸,,,,,,,
特惠,偷偷摸摸地行走,,,,,,,
特級,偷偷摸摸的,,,,,,,
特異,偷偷摸摸的人,,,,,,,
剔透,偷偷摸摸的勾當,,,,,,,
體面,偷運,,,,,,,
體態輕盈,偷摸,,,,,,,
體系化,偷摸行走,,,,,,,
惕,偷摸行走的人,,,,,,,
天才,偷懶,,,,,,,
天賜,偷懶的,,,,,,,
天從人願,偷竊,,,,,,,
天翻地覆,偏心,,,,,,,
天公地道,偏心的,,,,,,,
天經地義,偏見,,,,,,,
天隨人願,偏執狂,,,,,,,
天遂人願,偏執狂患者,,,,,,,
天下為公,偏袒,,,,,,,
天香國色,勒死,,,,,,,
天搖地動,勒索,,,,,,,
天衣無縫,勒索所得之款,,,,,,,
天造地設,勒除,,,,,,,
天真,勒除器,,,,,,,
天真爛漫,勒贖,,,,,,,
天真無邪,勘漏,,,,,,,
天姿國色,動武,,,,,,,
天字第一號,動亂,,,,,,,
甜,動搖,,,,,,,
甜點,動盪,,,,,,,
甜美,動盪的局面,,,,,,,
甜蜜,啪地一聲放下,,,,,,,
甜蜜蜜,啪地落下,,,,,,,
恬,啪的一聲甩,,,,,,,
恬靜,啪嗒,,,,,,,
恬適,啪嗒一聲關上,,,,,,,
挑戰性,啞的,,,,,,,
貼邊兒,問題,,,,,,,
貼切,啜泣,,,,,,,
貼題,啜泣著說,,,,,,,
鐵,圈套,,,,,,,
鐵案如山,堅決主張,,,,,,,
鐵打,堅持己見,,,,,,,
鐵定,堅持己見的,,,,,,,
鐵骨錚錚,堅硬,,,,,,,
鐵面無私,堅硬的,,,,,,,
鐵心,基礎薄弱,,,,,,,
鐵杵磨成針,堵塞,,,,,,,
鐵錚錚,執拗,,,,,,,
停妥,執拗的,,,,,,,
亭亭玉立,奢侈,,,,,,,
亭勻,奢侈的,,,,,,,
挺括,奢華,,,,,,,
挺秀,奢華的,,,,,,,
通,婉拒,,,,,,,
通暢,娼妓,,,,,,,
通達,寄生蟲,,,,,,,
通亮,寄食,,,,,,,
通明,寂寞,,,,,,,
通明透亮,寂寞的,,,,,,,
通情達理,宿命,,,,,,,
通權達變,宿命論,,,,,,,
通順,宿命論的,,,,,,,
通俗,密告,,,,,,,
通俗易懂,密謀,,,,,,,
通天,密藏,,,,,,,
通透,密藏的金錢,,,,,,,
同等重要,專制,,,,,,,
同情,專制的,,,,,,,
童顏鶴髮,專橫,,,,,,,
統一,專橫的,,,,,,,
痛快,將..弄糟,,,,,,,
痛痛快快,將..逐出社會,,,,,,,
投機,將交保釋放,,,,,,,
投入,將浮渣去除掉,,,,,,,
投緣,屠宰,,,,,,,
頭,屠宰者,,,,,,,
頭等,屠殺,,,,,,,
頭號,屠場,,,,,,,
頭面,崎嶇,,,,,,,
頭腦清醒,崎嶇不平,,,,,,,
頭頭是道,崩潰,,,,,,,
透闢,帶來痛苦,,,,,,,
透徹,庸俗,,,,,,,
透亮,庸俗的,,,,,,,
透明,張揚,,,,,,,
突出,強加,,,,,,,
突破性,強打,,,,,,,
團結,強光,,,,,,,
脫俗,強使,,,,,,,
妥,強制,,,,,,,
妥當,強制的,,,,,,,
妥切,強姦,,,,,,,
妥善,強要,,,,,,,
妥貼,強迫,,,,,,,
瓦亮,強迫..入伍,,,,,,,
外向,強迫..服務,,,,,,,
頑強,強迫的,,,,,,,
頑石點頭,強迫徵兵,,,,,,,
完,強烈,,,,,,,
完備,強烈抗議,,,,,,,
完好,強烈的慾望,,,,,,,
完好如初,強盜,,,,,,,
完好如新,強盜行為,,,,,,,
完好無損,強盜罪,,,,,,,
完美,強奪,,,,,,,
完美無疵,強壓,,,,,,,
完美無缺,強壓的,,,,,,,
完美無瑕,強擊,,,,,,,
完全,強擠,,,,,,,
完善,強擠入,,,,,,,
完整,得不到,,,,,,,
宛轉,得不到休息,,,,,,,
婉,得不到休息的,,,,,,,
婉麗,得罪,,,,,,,
婉娩,得罪人,,,,,,,
婉順,得罪人的人,,,,,,,
婉言,從..清除,,,,,,,
婉約,從..開小差,,,,,,,
婉轉,從事小爭論,,,,,,,
萬變不離其宗,從事偽造活動,,,,,,,
萬不得已,徘徊,,,,,,,
萬夫不當,患..病,,,,,,,
萬夫莫當,患..病的,,,,,,,
萬古長青,患者,,,,,,,
萬馬奔騰,患病,,,,,,,
萬全,患病的,,,,,,,
萬人空巷,患精神病,,,,,,,
萬無一失,患精神病的,,,,,,,
萬眾矚目,惋惜,,,,,,,
萬籟俱寂,情況不好,,,,,,,
網開一面,情況不好的,,,,,,,
旺,情急,,,,,,,
旺盛,情急拚命,,,,,,,
忘我,情急拚命的,,,,,,,
威風,情結,,,,,,,
威風凜凜,情節劇似,,,,,,,
威武,情節劇似的,,,,,,,
威嚴,掠奪,,,,,,,
微言大義,掠奪行為,,,,,,,
唯命是從,控告,,,,,,,
唯命是聽,控訴,,,,,,,
唯唯諾諾,捲入,,,,,,,
惟命是從,掩埋,,,,,,,
惟命是聽,掩飾,,,,,,,
為人寬厚,掩蔽,,,,,,,
為人正直,掉下,,,,,,,
為宜,掉隊,,,,,,,
委婉,掉隊的飛機,,,,,,,
偉,推卻,,,,,,,
偉岸,推托,,,,,,,
偉大,推諉,,,,,,,
蔚,推擠,,,,,,,
味道好,推翻,,,,,,,
味道鮮,掙扎,,,,,,,
衛生,排斥,,,,,,,
溫和,排除,,,,,,,
溫厚,救命,,,,,,,
溫靜,敗北,,,,,,,
溫良,敗俗,,,,,,,
溫情,敗退,,,,,,,
溫情脈脈,敗德,,,,,,,
溫柔,敗德的,,,,,,,
